,Sales,Sales First Difference,Seasonal First Difference,forecast
1964-01-01,2815,,,
1964-02-01,2672,-143.0,,
1964-03-01,2755,83.0,,
1964-04-01,2721,-34.0,,
1964-05-01,2946,225.0,,
1964-06-01,3036,90.0,,
1964-07-01,2282,-754.0,,
1964-08-01,2212,-70.0,,
1964-09-01,2922,710.0,,
1964-10-01,4301,1379.0,,
1964-11-01,5764,1463.0,,
1964-12-01,7312,1548.0,,
1965-01-01,2541,-4771.0,-274.0,
1965-02-01,2475,-66.0,-197.0,
1965-03-01,3031,556.0,276.0,
1965-04-01,3266,235.0,545.0,
1965-05-01,3776,510.0,830.0,
1965-06-01,3230,-546.0,194.0,
1965-07-01,3028,-202.0,746.0,
1965-08-01,1759,-1269.0,-453.0,
1965-09-01,3595,1836.0,673.0,
1965-10-01,4474,879.0,173.0,
1965-11-01,6838,2364.0,1074.0,
1965-12-01,8357,1519.0,1045.0,
1966-01-01,3113,-5244.0,572.0,
1966-02-01,3006,-107.0,531.0,
1966-03-01,4047,1041.0,1016.0,
1966-04-01,3523,-524.0,257.0,
1966-05-01,3937,414.0,161.0,
1966-06-01,3986,49.0,756.0,
1966-07-01,3260,-726.0,232.0,
1966-08-01,1573,-1687.0,-186.0,
1966-09-01,3528,1955.0,-67.0,
1966-10-01,5211,1683.0,737.0,
1966-11-01,7614,2403.0,776.0,
1966-12-01,9254,1640.0,897.0,
1967-01-01,5375,-3879.0,2262.0,
1967-02-01,3088,-2287.0,82.0,
1967-03-01,3718,630.0,-329.0,
1967-04-01,4514,796.0,991.0,
1967-05-01,4520,6.0,583.0,
1967-06-01,4539,19.0,553.0,
1967-07-01,3663,-876.0,403.0,
1967-08-01,1643,-2020.0,70.0,
1967-09-01,4739,3096.0,1211.0,
1967-10-01,5428,689.0,217.0,
1967-11-01,8314,2886.0,700.0,
1967-12-01,10651,2337.0,1397.0,
1968-01-01,3633,-7018.0,-1742.0,
1968-02-01,4292,659.0,1204.0,
1968-03-01,4154,-138.0,436.0,
1968-04-01,4121,-33.0,-393.0,
1968-05-01,4647,526.0,127.0,
1968-06-01,4753,106.0,214.0,
1968-07-01,3965,-788.0,302.0,
1968-08-01,1723,-2242.0,80.0,
1968-09-01,5048,3325.0,309.0,
1968-10-01,6922,1874.0,1494.0,
1968-11-01,9858,2936.0,1544.0,
1968-12-01,11331,1473.0,680.0,
1969-01-01,4016,-7315.0,383.0,
1969-02-01,3957,-59.0,-335.0,
1969-03-01,4510,553.0,356.0,
1969-04-01,4276,-234.0,155.0,
1969-05-01,4968,692.0,321.0,
1969-06-01,4677,-291.0,-76.0,
1969-07-01,3523,-1154.0,-442.0,
1969-08-01,1821,-1702.0,98.0,
1969-09-01,5222,3401.0,174.0,
1969-10-01,6872,1650.0,-50.0,
1969-11-01,10803,3931.0,945.0,
1969-12-01,13916,3113.0,2585.0,
1970-01-01,2639,-11277.0,-1377.0,
1970-02-01,2899,260.0,-1058.0,
1970-03-01,3370,471.0,-1140.0,
1970-04-01,3740,370.0,-536.0,
1970-05-01,2927,-813.0,-2041.0,
1970-06-01,3986,1059.0,-691.0,
1970-07-01,4217,231.0,694.0,
1970-08-01,1738,-2479.0,-83.0,
1970-09-01,5221,3483.0,-1.0,
1970-10-01,6424,1203.0,-448.0,
1970-11-01,9842,3418.0,-961.0,
1970-12-01,13076,3234.0,-840.0,
1971-01-01,3934,-9142.0,1295.0,
1971-02-01,3162,-772.0,263.0,
1971-03-01,4286,1124.0,916.0,
1971-04-01,4676,390.0,936.0,
1971-05-01,5010,334.0,2083.0,
1971-06-01,4874,-136.0,888.0,
1971-07-01,4633,-241.0,416.0,
1971-08-01,1659,-2974.0,-79.0,
1971-09-01,5951,4292.0,730.0,
1971-10-01,6981,1030.0,557.0,
1971-11-01,9851,2870.0,9.0,
1971-12-01,12670,2819.0,-406.0,
1972-01-01,4348,-8322.0,414.0,
1972-02-01,3564,-784.0,402.0,
1972-03-01,4577,1013.0,291.0,
1972-04-01,4788,211.0,112.0,
1972-05-01,4618,-170.0,-392.0,
1972-06-01,5312,694.0,438.0,
1972-07-01,4298,-1014.0,-335.0,
1972-08-01,1413,-2885.0,-246.0,
1972-09-01,5877,4464.0,-74.0,5878.711929197446
1972-10-01,,,,7024.263119192432
1972-11-01,,,,9996.419824347646
1972-12-01,,,,12892.1528109688
1973-01-01,,,,4561.509475386821
1973-02-01,,,,3718.817623003508
1973-03-01,,,,4792.361008434663
1973-04-01,,,,5034.610478299192
1973-05-01,,,,5047.9566882846575
1973-06-01,,,,5488.573262665853
1973-07-01,,,,4593.627862917444
1973-08-01,,,,1676.1385690771526
1973-09-01,,,,6146.224142908002
1973-10-01,,,,7262.5124480223585
1973-11-01,,,,10194.735801169552
1973-12-01,,,,13057.412435276388
1974-01-01,,,,4731.200994420898
1974-02-01,,,,3915.3177305354056
1974-03-01,,,,4961.3913032112005
1974-04-01,,,,5189.452913688554
1974-05-01,,,,5119.495192937331
1974-06-01,,,,5675.242405979638
1974-07-01,,,,4726.20242481204
1974-08-01,,,,1823.475352500454
